from URI	equivalent URI	use instead URI	subClassOf URI	Notes
asioModules:GB_UNIVERSITY_HR_GBRREAASS			vivo:Position	Probably subclass of vivo:NonAcademicPosition? (research assistant)
asioModules:GB_UNIVERSITY_HR_GBRPROF			vivo:FacultyPosition	Professorial research fellow
asioModules:GB_UNIVERSITY_HR_GBCHAN			vivo:FacultyAdministrativePosition	Chancellor
asioModules:GB_UNIVERSITY_HR_GBDEPVICHAN			vivo:FacultyAdministrativePosition	Deputy vice-chancellor
asioModules:GB_UNIVERSITY_HR_GBRTASSLEC			vivo:FacultyPosition	Assistant lecturer
asioModules:GB_UNIVERSITY_HR_GBRTSENLEC			vivo:FacultyPosition	Senior lecturer
asioModules:GB_UNIVERSITY_HR_GBRREAFEL			vivo:AcademicPosition	Research fellow
asioModules:GB_UNIVERSITY_HR_GBPROVICCHAN			vivo:FacultyAdministrativePosition	Pro-vice-chancellor
asioModules:GB_UNIVERSITY_HR_GBEREAD			vivo:FacultyPosition	Emeritus reader
asioModules:GB_UNIVERSITY_HR_GBDEPDIR			vivo:FacultyAdministrativePosition	Department director of studies
asioModules:GB_UNIVERSITY_HR_GBEPROF			vivo:FacultyPosition	Emeritus professor
asioModules:GB_UNIVERSITY_HR_GBPROCHAN			vivo:FacultyAdministrativePosition	Pro-chancellor
asioModules:GB_UNIVERSITY_HR_GBRTCLLEC			vivo:FacultyPosition	Clinical lecturer
asioModules:GB_UNIVERSITY_HR_GBDEAN			vivo:FacultyAdministrativePosition	Dean of faculty
asioModules:GB_UNIVERSITY_HR_GBRSENREAFEL			vivo:AcademicPosition	Senior research fellow
asioModules:GB_UNIVERSITY_HR_GBVICCHAN			vivo:FacultyAdministrativePosition	Vice-chancellor
asioModules:GB_UNIVERSITY_HR_GBHEADDEP			vivo:FacultyAdministrativePosition	Head of department
asioModules:GB_UNIVERSITY_HR_GBRTLEC			vivo:FacultyPosition	Lecturer
asioModules:GB_UNIVERSITY_HR_GBTPROF			vivo:FacultyPosition	Professorial teaching fellow
asioModules:GB_UNIVERSITY_HR_GBRTREAD			vivo:FacultyPosition	Reader
asioModules:GB_UNIVERSITY_HR_GBRTPROF			vivo:FacultyPosition	Professor
