from URI	Equivalent URI	Use instead URI	Super URI	Notes
event:Event	X			
frapo:FinancialEntity	X			
asio:Abstract	X			
asio:AcademicDegree	X			
asio:AcademicPublication	X			
asio:AcademicSubject	X			
asio:AdministrativeEntity	X			
asio:Article	X			
asio:AudioVisualDocument	X			
asio:BachelorsDegreeSubject	X			
asio:BachelorsThesis	X			
asio:BacherlorsDegree	X			
asio:Book	X			
asio:Budget	X			
asio:CV	X			
asio:CaseStudy	X			
asio:Catalog	X			
asio:CollectedDocument	X			
asio:Company	X			
asio:Conference	X			
asio:Context	X			
asio:Contract	X			
asio:Country	X			
asio:Database	X			
asio:DoctoralDegree	X			
asio:DoctoralProgram	X			
asio:EditedPublication	X			
asio:EmploymentContract	X			
asio:Equipment	X			
asio:EuropeanProject		ProjectClassification#European		
asio:EventSeries	X			
asio:Expenditure	X			
asio:FinancialDocument	X			
asio:Funding	X			
asio:FundingAgency	X			
asio:FundingProgramme	X			
asio:Grant	X			
asio:InternalProject				"Keep ""Internal"" wording in preference to ""Own"""
asio:InternationalProject		ProjectClassification#International		
asio:Invention	X			
asio:Invoice	X			
asio:LargeEnterprise	X			
asio:Manual	X			
asio:MastersDegree	X			
asio:MastersDegreeSubject	X			
asio:MastersThesis	X			
asio:NationalProject		ProjectClassification#National		
asio:Patent				
asio:PeerReviewedArticle	X			
asio:PhDThesis	X			
asio:Proceedings	X			
asio:Product	X			
asio:Profile	X			
asio:ProformaInvoice	X			
asio:ProjectBudget	X			
asio:Prototype	X			
asio:Publication	X			
asio:QualifiedValue	X			
asio:RegionalProject		ProjectClassification#Regional		
asio:Report	X			
asio:ResearchContribution	X			
asio:ResearchField	X			
asio:ResearchGroup	X			
asio:ResearchInstitute	X			
asio:ResearchMaterial	X			
asio:ResearchMethod	X			
asio:ResearchProblem	X			
asio:ResearchResult	X			
asio:Role	X			
asio:SME	X			
asio:ScientificPublication	X			
asio:SealOfQuality	X			
asio:Service	X			
asio:ServiceContract	X			
asio:SpainUniversityStaffing	X			
asio:Spinoff	X			
asio:Status	X			
asio:TechnicalReport	X			
asio:Thesis	X			
asio:University	X			
asio:UniversityDivision	X			
asio:Workshop	X			
http://purl.org/hercules/asio/modules#GeopoliticalEntities	X			
http://purl.org/hercules/asio/modules#ScientificDomain	X			
ro:AggregatedAnnotation	X			
ro:Folder	X			
ro:FolderEntry	X			
ro:Manifest	X			
ro:ResearchObject	X			
ro:Resource	X			
ro:SemanticAnnotation	X			
foaf:Project	X			
	X			
asio:addresses	X			
asio:advises	X			
asio:associatedWith	X			
asio:atContent	X			
asio:authorCitation	X			
asio:authors	X			
asio:awards	X			
asio:capital	X			
asio:cites	X			
asio:coadvisedBy	X			
asio:coadvises	X			
asio:coauthors	X			
asio:codeOf	X			
asio:companyFounder	X			
asio:coordinatedBy	X			
asio:country	X			
asio:employs	X			
asio:funds	X			
asio:geoDivision	X			
asio:h-index	X			
asio:hasCV	X			
asio:hasCode	X			
asio:hasPatent	X			
asio:hasResearchContribution	X			
asio:hasResearchField	X			
asio:hasResearchLine	X			
asio:hasScientificDomain	X			
asio:hasSealOfQuality	X			
asio:i10-index	X			
asio:invoiceOf	X			
asio:isAdvisedBy	X			
asio:isAuthoredBy	X			
asio:isAwardedBy	X			
asio:isCoauthoredBy	X			
asio:isFundedBy	X			
asio:isMemberOf	X			
asio:mainResearcherParticipant	X			
asio:participant	X			
asio:participates	X			
asio:patentAssignee	X			
asio:patentAssistantExaminer	X			
asio:patentCountry	X			
asio:patentInventor	X			
asio:patentPrimaryExaminer	X			
asio:patentStatus	X			
asio:personalizes	X			
asio:plays	X			
asio:profiles	X			
asio:projectCoordinator	X			
asio:projectOutcome	X			
asio:projectStatus	X			
asio:publicationCitation	X			
asio:publishedBy	X			
asio:publishes	X			
asio:requiredFor	X			
asio:requires	X			
asio:researchesIn	X			
asio:specializes	X			
asio:spinsOffFrom	X			
asio:student	X			
asio:taughtBy	X			
asio:teaches	X			
asio:taughtBy	X			
asio:utilizes	X			
asio:yields	X			
ro:annotatesAggregatedResource	X			
http://www.w3.org/ns/prov#wasDerivedFrom	X			
https://www.w3.org/TR/prov-o/#wasDerivedFrom	X			
foaf:member	X			
asio:awardedWith	X			
asio:hasDOI	X			
asio:hasORCID	X			
asio:hasResearcherID	X			
asio:hasTRL	X			
asio:identifier	X			
asio:isActive	X			
asio:isCompetitive	X			
asio:isbn10	X			
asio:isbn13	X			
asio:issn	X			
asio:patentDate	X			
asio:patentExpirationDate	X			
asio:projectAcronym	X			
asio:projectBudget	X			
asio:projectEndDate	X			
asio:projectID	X			
asio:projectKeyword	X			
asio:projectStartDate	X			
asio:pubmedcentralid	X			
asio:pubmedid	X			
asio:qualifieddate	X			
asio:qualifiedvaluation	X			
asio:referencedLaw	X			
asio:upc	X			
ro:entryName	X			
roh:cites	X			
roh:factorH	X			
roh:patentStatus	X			
roh:projectStatus	X			
roh:status	X			
asio:Status	X			
asio:accepted	X			
asio:cancelled	X			
asio:closed	X			
asio:funded	X			
asio:rejected	X			
asio:signed	X			
asio:terminated	X			
asio:unfunded	X			
asio:Administrative	X			
asio:CatedraticoEscuelaUniversitaria	X			
asio:CatedraticoUniversidad	X			
asio:EventOrganiser	X			
asio:MasterStudent	X			
asio:PASfuncionario	X			
asio:PASlaboral	X			
asio:PhDStudent	X			
asio:Researching	X			
asio:Teaching	X			
asio:TechnicalSupport	X			
asio:TitularUniversidad	X			
asio:UndergraduateStudent	X			
roh:CurriculumVitae	X			
