from URI	equivalent URI	use instead URI	subClassOf URI	Notes
asio:Role	owl:Class			
asioModules:ES_UNIVERSITY_HR_ESVIREC			vivo:FacultyAdministrativePosition	
asioModules:ES_UNIVERSITY_HR_ESLPCNP			rohes:PDIContratado	all 'PDIContratado' mappings should be reviewed
asioModules:ES_UNIVERSITY_HR_ESLPAG			rohes:CuerpoDocento	review: Profesor agregado
asioModules:ES_UNIVERSITY_HR_ESFPCEU	rohes:CatedraticoDeEscuelaUniversitaria			
asioModules:ES_UNIVERSITY_HR_ESFPTU	rohes:ProfesorTitularDeUniversidad			
asioModules:ES_UNIVERSITY_HR_ESLPC			rohes:CuerpoDocento	
asioModules:ES_UNIVERSITY_HR_ESRECT			vivo:FacultyAdministrativePosition	Rector
asioModules:ES_UNIVERSITY_HR_ESFIVEFNP			rohes:PDIContratado	Profesor Ivef no permanente
asioModules:ES_UNIVERSITY_HR_ESPASF			vivo:NonAcademicPosition	Personal de administración y servicios funcionario
asioModules:ES_UNIVERSITY_HR_ESLPAY			rohes:PDIContratado	Profesor ayudante
asioModules:ES_UNIVERSITY_HR_ESPLV	rohes:ProfesorVisitante			
asioModules:ES_UNIVERSITY_HR_ESSECGE			vivo:FacultyAdministrativePosition	secretario general
asioModules:ES_UNIVERSITY_HR_ESPASL			vivo:NonAcademicPosition	Personal de administración y servicios laboral
asioModules:ES_UNIVERSITY_HR_ESLPCD	rohes:ProfesorContratadoDoctor			
asioModules:ES_UNIVERSITY_HR_ESLPAD	rohes:ProfesorAyudanteDoctor			
asioModules:ES_UNIVERSITY_HR_ESLPAM			rohes:PDIContratado	subclass of ProfesorAsociado? Profesor asociado médico
asioModules:ES_UNIVERSITY_HR_ESJEFDEP			vivo:FacultyAdministrativePosition	Director de departamento
asioModules:ES_UNIVERSITY_HR_ESLPCP			rohes:CuerpoDocento	Profesor colaborador permanente
asioModules:ES_UNIVERSITY_HR_ESFPCU	rohes:CatedraticoDeUniversidad			
asioModules:ES_UNIVERSITY_HR_ESFPTN			rohes:CuerpoDocento	Profesor titular de escuela de náutica
asioModules:ES_UNIVERSITY_HR_ESVIDEC			vivo:FacultyAdministrativePosition	Vicedecano
asioModules:ES_UNIVERSITY_HR_ESLPADJ			rohes:PDIContratado	Any relationship to ProfesorAyudante? (Profesor adjunto)
asioModules:ES_UNIVERSITY_HR_ESLI			vivo:AcademicPosition	Investigador
asioModules:ES_UNIVERSITY_HR_ESLPI			rohes:PDIContratado	Profesor laboral interino
asioModules:ES_UNIVERSITY_HR_ESLPL			rohes:PDIContratado	Profesor lector
asioModules:ES_UNIVERSITY_HR_ESFEU	rohes:ProfesorTitularDeEscuelaUniversitaria			
asioModules:ES_UNIVERSITY_HR_ESFIVEFP			rohes:CuerpoDocento	verify: Profesor ivef permanente
asioModules:ES_UNIVERSITY_HR_ESPLEM	rohes:ProfesorEmerito			
asioModules:ES_UNIVERSITY_HR_ESDECA			vivo:FacultyAdministrativePosition	
asioModules:ES_UNIVERSITY_HR_ESLPAS	rohes:ProfesorAsociado			
