From URI	Equivalent URI	Use instead URI	Super URI	Notes
event:Event	event:Event, roh:Activity			
frapo:FinancialEntity	X			roh:Funding, roh:FundingSource
asio:Abstract	vivo:Abstract			
asio:AcademicDegree	vivo:AwardedDegree			
asio:AcademicPublication	bibo:Document, bibo:AcademicArticle			
asio:AcademicSubject	roh:KnowledgeArea			TODO: not sure if difference
asio:AdministrativeEntity				 (not subclassed?)
asio:Article	bibo:Article, bibo:AcademicArticle			
asio:AudioVisualDocument	bibo:AudioVisualDocument			 (not explicity included)
asio:BachelorsDegreeSubject				roh:BachelorDegree (but no differentiation of subject)
asio:BachelorsThesis				roh:DegreeThesis? (allDisjoint with MastersThesis, PhDThesis)
asio:BacherlorsDegree	roh:BachelorDegree			
asio:Book	bibo:Book			
asio:Budget				
asio:CV	roh:CurriculumVitae			
asio:CaseStudy				
asio:Catalog				(BIBO equivalent?)
asio:CollectedDocument	bibo:CollectedDocument			
asio:Company	vivo:Company			
asio:Conference	bibo:Conference			
asio:Context				(Q: similar to what a Role is realized in?)
asio:Contract		vivo:Contract		
asio:Country				
asio:Database				
asio:DoctoralDegree	roh:DoctoralDegree			
asio:DoctoralProgram				
asio:EditedPublication				superclass of bibo:EditedBook ?
asio:EmploymentContract	roh:PersonContract			
asio:Equipment	vivo:Equipment			
asio:EuropeanProject	X			ProjectClassification#European
asio:EventSeries	vivo:EventSeries			
asio:Expenditure		roh:Expense		
asio:Facility	vivo:Facility			
asio:FinancialDocument	X			(not clear how used)
asio:Funding		roh:Funding		
asio:FundingAgency		vivo:FundingOrganization		review?
asio:FundingProgramme	roh:FundingProgram			
asio:Grant	roh:Grant			
asio:InternalProject	X			doesn't seem to be a ProjectClassification for this
asio:InternationalProject	X			ProjectClassification#International
asio:Invention	roh:Invention			
asio:Invoice		roh:Invoice		roh:Invoice
asio:LargeEnterprise	roh:LargeEnterprise			
asio:Manual	bibo:Manual			
asio:MastersDegree	roh:MasterDegree			
asio:MastersDegreeSubject				
asio:MastersThesis	roh:MastersThesis			
asio:NationalProject	X			
asio:Patent	bibo:Patent			
asio:PeerReviewedArticle			bibo:AcademicArticle	axiom with vivo:PeerReviewerRole?
asio:PhDThesis	roh:PhDThesis			
asio:Proceedings	bibo:Proceedings			
asio:Product			roh:ResearchObject	
asio:Profile	X			(an instance of a Role in BFO? Inheres in a specific person)
asio:ProformaInvoice			roh:Invoice	
asio:ProjectBudget				
asio:Prototype			roh:ResearchObject	
asio:Publication	bibo:Document			
